,Unnamed: 0,date,counts,price,year,month,day
1240,1240,2017-05-31,89,377.0,2017,05,31 00:00:00
1242,1242,2017-08-04,100,420.0,2017,08,04 00:00:00
1244,1244,2017-11-12,163,164.0,2017,11,12 00:00:00
1251,1251,2017-01-09,43,2659.0,2017,01,09 00:00:00
1271,1271,2017-08-25,112,8533.0,2017,08,25 00:00:00
1272,1272,2017-05-08,61,3200.0,2017,05,08 00:00:00
1274,1274,2017-08-07,105,441.0,2017,08,07 00:00:00
1277,1277,2017-07-22,112,519.0,2017,07,22 00:00:00
1282,1282,2017-03-04,69,391.0,2017,03,04 00:00:00
1284,1284,2017-08-28,120,376.0,2017,08,28 00:00:00
1287,1287,2017-06-27,73,298.0,2017,06,27 00:00:00
1290,1290,2017-11-13,74,292.0,2017,11,13 00:00:00
1306,1306,2017-04-11,43,661.0,2017,04,11 00:00:00
1310,1310,2017-01-24,39,213.0,2017,01,24 00:00:00
1318,1318,2017-08-24,133,171.0,2017,08,24 00:00:00
1321,1321,2017-06-02,52,164.0,2017,06,02 00:00:00
1325,1325,2017-01-05,30,462.0,2017,01,05 00:00:00
1329,1329,2017-01-28,16,996.0,2017,01,28 00:00:00
1332,1332,2017-09-17,173,220.0,2017,09,17 00:00:00
1333,1333,2017-04-06,33,135.0,2017,04,06 00:00:00
1335,1335,2017-08-02,80,391.0,2017,08,02 00:00:00
1336,1336,2017-07-20,68,199.0,2017,07,20 00:00:00
1342,1342,2017-01-15,49,191.0,2017,01,15 00:00:00
1346,1346,2017-01-02,61,178.0,2017,01,02 00:00:00
1352,1352,2017-01-18,45,128.0,2017,01,18 00:00:00
1354,1354,2017-10-06,257,355.0,2017,10,06 00:00:00
1361,1361,2017-05-14,100,796.0,2017,05,14 00:00:00
1381,1381,2017-09-11,100,491.0,2017,09,11 00:00:00
1402,1402,2017-03-21,32,3001.0,2017,03,21 00:00:00
1424,1424,2017-03-19,49,461.0,2017,03,19 00:00:00
1425,1425,2017-02-26,37,398.0,2017,02,26 00:00:00
1429,1429,2017-10-23,36,78.0,2017,10,23 00:00:00
1430,1430,2017-12-05,64,1500.0,2017,12,05 00:00:00
1433,1433,2017-03-12,48,461.0,2017,03,12 00:00:00
1436,1436,2017-06-12,78,320.0,2017,06,12 00:00:00
1437,1437,2017-09-23,127,270.0,2017,09,23 00:00:00
1447,1447,2017-07-29,115,1998.0,2017,07,29 00:00:00
1456,1456,2017-02-22,29,462.0,2017,02,22 00:00:00
1459,1459,2017-04-28,69,270.0,2017,04,28 00:00:00
1462,1462,2017-12-03,117,796.0,2017,12,03 00:00:00
1464,1464,2017-03-29,54,121.0,2017,03,29 00:00:00
1472,1472,2017-04-01,81,277.0,2017,04,01 00:00:00
1476,1476,2017-10-30,18,553.0,2017,10,30 00:00:00
1494,1494,2017-03-31,48,156.0,2017,03,31 00:00:00
1502,1502,2017-06-30,112,796.0,2017,06,30 00:00:00
1515,1515,2017-09-03,176,425.0,2017,09,03 00:00:00
1516,1516,2017-12-20,88,533.0,2017,12,20 00:00:00
1524,1524,2017-07-06,78,356.0,2017,07,06 00:00:00
1525,1525,2017-09-18,97,427.0,2017,09,18 00:00:00
1532,1532,2017-10-16,61,398.0,2017,10,16 00:00:00
1536,1536,2017-08-17,113,242.0,2017,08,17 00:00:00
1537,1537,2017-10-03,164,199.0,2017,10,03 00:00:00
1542,1542,2017-04-08,73,298.0,2017,04,08 00:00:00
1544,1544,2017-10-24,16,624.0,2017,10,24 00:00:00
1551,1551,2017-08-10,98,99.0,2017,08,10 00:00:00
1562,1562,2017-07-12,92,569.0,2017,07,12 00:00:00
1567,1567,2017-05-18,55,448.0,2017,05,18 00:00:00
1572,1572,2017-02-10,43,185.0,2017,02,10 00:00:00
1578,1578,2017-05-25,67,356.0,2017,05,25 00:00:00
1582,1582,2017-09-27,78,348.0,2017,09,27 00:00:00
1589,1589,2017-09-08,100,597.0,2017,09,08 00:00:00
1591,1591,2017-01-04,39,697.0,2017,01,04 00:00:00
1593,1593,2017-11-16,66,256.0,2017,11,16 00:00:00
1600,1600,2017-10-08,235,177.0,2017,10,08 00:00:00
1620,1620,2017-03-09,39,235.0,2017,03,09 00:00:00
1625,1625,2017-12-24,204,405.0,2017,12,24 00:00:00
1634,1634,2017-04-10,34,178.0,2017,04,10 00:00:00
1635,1635,2017-12-30,136,178.0,2017,12,30 00:00:00
1636,1636,2017-02-05,35,149.0,2017,02,05 00:00:00
1638,1638,2017-12-18,80,397.0,2017,12,18 00:00:00
1656,1656,2017-02-11,44,391.0,2017,02,11 00:00:00
1662,1662,2017-02-01,66,441.0,2017,02,01 00:00:00
1668,1668,2017-11-20,86,412.0,2017,11,20 00:00:00
1670,1670,2017-01-31,48,256.0,2017,01,31 00:00:00
1689,1689,2017-04-07,51,498.0,2017,04,07 00:00:00
1703,1703,2017-12-25,153,1301.0,2017,12,25 00:00:00
1705,1705,2017-06-23,80,327.0,2017,06,23 00:00:00
1706,1706,2017-06-10,78,99.0,2017,06,10 00:00:00
1720,1720,2017-08-20,220,796.0,2017,08,20 00:00:00
1726,1726,2017-12-11,77,390.0,2017,12,11 00:00:00
1727,1727,2017-01-22,46,156.0,2017,01,22 00:00:00
1730,1730,2017-01-21,34,1088.0,2017,01,21 00:00:00
1735,1735,2017-12-01,70,420.0,2017,12,01 00:00:00
1742,1742,2017-01-07,57,341.0,2017,01,07 00:00:00
1760,1760,2017-08-19,158,199.0,2017,08,19 00:00:00
1783,1783,2017-08-12,142,299.0,2017,08,12 00:00:00
1789,1789,2017-10-01,109,178.0,2017,10,01 00:00:00
1798,1798,2017-10-19,24,796.0,2017,10,19 00:00:00
1801,1801,2017-07-25,75,690.0,2017,07,25 00:00:00
1814,1814,2017-03-08,33,277.0,2017,03,08 00:00:00
1816,1816,2017-01-30,49,192.0,2017,01,30 00:00:00
1818,1818,2017-10-27,14,894.0,2017,10,27 00:00:00
1832,1832,2017-06-28,89,3278.0,2017,06,28 00:00:00
1838,1838,2017-12-09,85,355.0,2017,12,09 00:00:00
1839,1839,2017-03-13,34,249.0,2017,03,13 00:00:00
1840,1840,2017-03-27,43,206.0,2017,03,27 00:00:00
1842,1842,2017-08-13,170,270.0,2017,08,13 00:00:00
1847,1847,2017-05-11,57,199.0,2017,05,11 00:00:00
1851,1851,2017-11-04,81,213.0,2017,11,04 00:00:00
1862,1862,2017-02-03,46,341.0,2017,02,03 00:00:00
1863,1863,2017-07-05,84,1500.0,2017,07,05 00:00:00
1867,1867,2017-09-14,110,1401.0,2017,09,14 00:00:00
1868,1868,2017-05-12,58,1401.0,2017,05,12 00:00:00
1872,1872,2017-10-29,31,220.0,2017,10,29 00:00:00
1876,1876,2017-12-15,95,99.0,2017,12,15 00:00:00
1878,1878,2017-08-31,130,85.0,2017,08,31 00:00:00
1879,1879,2017-03-15,35,235.0,2017,03,15 00:00:00
1883,1883,2017-09-13,93,171.0,2017,09,13 00:00:00
1885,1885,2017-10-14,69,249.0,2017,10,14 00:00:00
1886,1886,2017-12-08,84,1305.0,2017,12,08 00:00:00
1889,1889,2017-05-23,46,441.0,2017,05,23 00:00:00
1892,1892,2017-08-23,123,596.0,2017,08,23 00:00:00
1896,1896,2017-04-29,95,298.0,2017,04,29 00:00:00
1897,1897,2017-08-09,94,341.0,2017,08,09 00:00:00
1910,1910,2017-12-02,78,256.0,2017,12,02 00:00:00
1919,1919,2017-12-07,66,333.0,2017,12,07 00:00:00
1928,1928,2017-12-13,54,305.0,2017,12,13 00:00:00
1939,1939,2017-05-02,68,270.0,2017,05,02 00:00:00
1944,1944,2017-11-06,89,461.0,2017,11,06 00:00:00
1947,1947,2017-05-30,198,249.0,2017,05,30 00:00:00
1948,1948,2017-04-02,95,277.0,2017,04,02 00:00:00
1955,1955,2017-11-09,71,1177.0,2017,11,09 00:00:00
1957,1957,2017-03-17,50,1401.0,2017,03,17 00:00:00
1958,1958,2017-09-29,95,1401.0,2017,09,29 00:00:00
1959,1959,2017-02-25,69,1081.0,2017,02,25 00:00:00
1960,1960,2017-10-18,42,775.0,2017,10,18 00:00:00
1967,1967,2017-11-23,74,85.0,2017,11,23 00:00:00
1973,1973,2017-04-23,96,2396.0,2017,04,23 00:00:00
1978,1978,2017-01-19,38,340.0,2017,01,19 00:00:00
1980,1980,2017-11-10,90,92.0,2017,11,10 00:00:00
1983,1983,2017-08-26,141,220.0,2017,08,26 00:00:00
1987,1987,2017-09-04,94,455.0,2017,09,04 00:00:00
1992,1992,2017-01-12,51,519.0,2017,01,12 00:00:00
1999,1999,2017-02-02,43,441.0,2017,02,02 00:00:00
2003,2003,2017-12-12,63,299.0,2017,12,12 00:00:00
2019,2019,2017-08-06,129,277.0,2017,08,06 00:00:00
2050,2050,2017-07-19,84,277.0,2017,07,19 00:00:00
2059,2059,2017-10-20,37,3001.0,2017,10,20 00:00:00
2065,2065,2017-02-07,35,498.0,2017,02,07 00:00:00
2069,2069,2017-04-24,65,455.0,2017,04,24 00:00:00
2077,2077,2017-03-28,54,107.0,2017,03,28 00:00:00
2080,2080,2017-02-15,24,4999.0,2017,02,15 00:00:00
2107,2107,2017-04-09,55,277.0,2017,04,09 00:00:00
2111,2111,2017-05-24,48,901.0,2017,05,24 00:00:00
2122,2122,2017-05-13,65,697.0,2017,05,13 00:00:00
2136,2136,2017-11-05,178,277.0,2017,11,05 00:00:00
2138,2138,2017-02-16,44,2190.0,2017,02,16 00:00:00
2139,2139,2017-02-20,39,170.0,2017,02,20 00:00:00
2149,2149,2017-09-16,101,135.0,2017,09,16 00:00:00
2156,2156,2017-07-11,73,398.0,2017,07,11 00:00:00
2157,2157,2017-05-20,92,171.0,2017,05,20 00:00:00
2171,2171,2017-11-22,65,299.0,2017,11,22 00:00:00
2177,2177,2017-01-26,28,135.0,2017,01,26 00:00:00
2184,2184,2017-09-20,93,341.0,2017,09,20 00:00:00
2203,2203,2017-07-17,88,491.0,2017,07,17 00:00:00
2212,2212,2017-05-27,72,484.0,2017,05,27 00:00:00
2214,2214,2017-06-01,64,199.0,2017,06,01 00:00:00
2218,2218,2017-11-29,62,865.0,2017,11,29 00:00:00
2222,2222,2017-07-28,118,299.0,2017,07,28 00:00:00
2231,2231,2017-03-25,82,1700.0,2017,03,25 00:00:00
2234,2234,2017-11-19,184,156.0,2017,11,19 00:00:00
2243,2243,2017-03-22,45,206.0,2017,03,22 00:00:00
2249,2249,2017-06-14,61,292.0,2017,06,14 00:00:00
2254,2254,2017-05-17,49,747.0,2017,05,17 00:00:00
2256,2256,2017-10-05,229,235.0,2017,10,05 00:00:00
2258,2258,2017-06-05,60,306.0,2017,06,05 00:00:00
2262,2262,2017-04-30,127,298.0,2017,04,30 00:00:00
2268,2268,2017-12-17,124,391.0,2017,12,17 00:00:00
2269,2269,2017-12-16,83,447.0,2017,12,16 00:00:00
2274,2274,2017-08-05,130,448.0,2017,08,05 00:00:00
2280,2280,2017-09-25,109,299.0,2017,09,25 00:00:00
2281,2281,2017-07-31,117,269.0,2017,07,31 00:00:00
2284,2284,2017-08-21,146,320.0,2017,08,21 00:00:00
