,Unnamed: 0,date,counts,price,year,month,day
5,5,2017-02-06,29,412.0,2017,02,06 00:00:00
7,7,2017-01-20,46,711.0,2017,01,20 00:00:00
18,18,2017-03-30,61,8903.0,2017,03,30 00:00:00
26,26,2017-09-05,76,491.0,2017,09,05 00:00:00
27,27,2017-02-23,37,306.0,2017,02,23 00:00:00
29,29,2017-10-11,58,256.0,2017,10,11 00:00:00
33,33,2017-01-01,116,498.0,2017,01,01 00:00:00
40,40,2017-10-22,56,782.0,2017,10,22 00:00:00
44,44,2017-12-23,102,2844.0,2017,12,23 00:00:00
54,54,2017-08-22,109,4999.0,2017,08,22 00:00:00
63,63,2017-04-18,52,491.0,2017,04,18 00:00:00
72,72,2017-10-07,292,498.0,2017,10,07 00:00:00
77,77,2017-11-15,65,1067.0,2017,11,15 00:00:00
80,80,2017-07-18,99,171.0,2017,07,18 00:00:00
81,81,2017-05-01,168,981.0,2017,05,01 00:00:00
94,94,2017-08-15,94,320.0,2017,08,15 00:00:00
95,95,2017-02-13,34,988.0,2017,02,13 00:00:00
102,102,2017-11-27,85,391.0,2017,11,27 00:00:00
107,107,2017-02-08,34,796.0,2017,02,08 00:00:00
114,114,2017-12-04,94,747.0,2017,12,04 00:00:00
119,119,2017-10-10,59,1553.0,2017,10,10 00:00:00
128,128,2017-03-03,39,164.0,2017,03,03 00:00:00
130,130,2017-01-14,52,228.0,2017,01,14 00:00:00
131,131,2017-07-08,100,263.0,2017,07,08 00:00:00
136,136,2017-09-26,88,397.0,2017,09,26 00:00:00
145,145,2017-08-16,120,882.0,2017,08,16 00:00:00
149,149,2017-01-11,33,235.0,2017,01,11 00:00:00
152,152,2017-03-16,54,107.0,2017,03,16 00:00:00
170,170,2017-04-26,50,340.0,2017,04,26 00:00:00
173,173,2017-11-07,74,178.0,2017,11,07 00:00:00
180,180,2017-08-30,110,1607.0,2017,08,30 00:00:00
181,181,2017-07-10,103,227.0,2017,07,10 00:00:00
186,186,2017-12-27,111,269.0,2017,12,27 00:00:00
188,188,2017-09-21,104,263.0,2017,09,21 00:00:00
193,193,2017-10-12,54,723.0,2017,10,12 00:00:00
194,194,2017-04-04,48,355.0,2017,04,04 00:00:00
206,206,2017-01-13,55,1799.0,2017,01,13 00:00:00
226,226,2017-02-12,33,569.0,2017,02,12 00:00:00
237,237,2017-10-25,15,178.0,2017,10,25 00:00:00
245,245,2017-07-15,111,149.0,2017,07,15 00:00:00
250,250,2017-10-28,25,796.0,2017,10,28 00:00:00
258,258,2017-10-21,38,220.0,2017,10,21 00:00:00
260,260,2017-05-29,127,299.0,2017,05,29 00:00:00
267,267,2017-07-14,94,164.0,2017,07,14 00:00:00
281,281,2017-05-15,51,228.0,2017,05,15 00:00:00
291,291,2017-06-18,133,455.0,2017,06,18 00:00:00
292,292,2017-11-01,25,491.0,2017,11,01 00:00:00
305,305,2017-09-30,123,391.0,2017,09,30 00:00:00
306,306,2017-04-16,90,356.0,2017,04,16 00:00:00
307,307,2017-01-17,31,519.0,2017,01,17 00:00:00
315,315,2017-01-10,35,199.0,2017,01,10 00:00:00
316,316,2017-11-30,77,171.0,2017,11,30 00:00:00
327,327,2017-09-28,85,398.0,2017,09,28 00:00:00
339,339,2017-07-24,109,64.0,2017,07,24 00:00:00
341,341,2017-11-21,48,78.0,2017,11,21 00:00:00
346,346,2017-01-29,32,1092.0,2017,01,29 00:00:00
355,355,2017-11-18,110,896.0,2017,11,18 00:00:00
363,363,2017-07-27,84,164.0,2017,07,27 00:00:00
373,373,2017-06-24,83,326.0,2017,06,24 00:00:00
374,374,2017-06-20,84,100.0,2017,06,20 00:00:00
375,375,2017-10-02,143,8050.0,2017,10,02 00:00:00
380,380,2017-04-22,75,199.0,2017,04,22 00:00:00
382,382,2017-01-06,45,619.0,2017,01,06 00:00:00
393,393,2017-07-07,96,135.0,2017,07,07 00:00:00
399,399,2017-11-02,49,704.0,2017,11,02 00:00:00
402,402,2017-06-11,128,384.0,2017,06,11 00:00:00
407,407,2017-08-03,95,1003.0,2017,08,03 00:00:00
418,418,2017-06-15,63,697.0,2017,06,15 00:00:00
429,429,2017-12-14,68,1998.0,2017,12,14 00:00:00
431,431,2017-01-03,41,142.0,2017,01,03 00:00:00
435,435,2017-10-31,22,695.0,2017,10,31 00:00:00
437,437,2017-11-24,62,263.0,2017,11,24 00:00:00
441,441,2017-06-06,57,305.0,2017,06,06 00:00:00
446,446,2017-09-24,175,171.0,2017,09,24 00:00:00
450,450,2017-12-31,178,626.0,2017,12,31 00:00:00
464,464,2017-02-21,41,128.0,2017,02,21 00:00:00
478,478,2017-09-09,124,185.0,2017,09,09 00:00:00
490,490,2017-01-27,15,213.0,2017,01,27 00:00:00
500,500,2017-09-19,79,420.0,2017,09,19 00:00:00
512,512,2017-05-04,59,512.0,2017,05,04 00:00:00
518,518,2017-03-23,37,427.0,2017,03,23 00:00:00
520,520,2017-03-02,34,433.0,2017,03,02 00:00:00
522,522,2017-04-05,37,860.0,2017,04,05 00:00:00
537,537,2017-04-21,65,298.0,2017,04,21 00:00:00
539,539,2017-06-29,70,128.0,2017,06,29 00:00:00
546,546,2017-07-30,125,1351.0,2017,07,30 00:00:00
547,547,2017-05-07,91,412.0,2017,05,07 00:00:00
548,548,2017-01-16,38,355.0,2017,01,16 00:00:00
565,565,2017-06-22,66,249.0,2017,06,22 00:00:00
567,567,2017-11-08,73,220.0,2017,11,08 00:00:00
569,569,2017-02-27,42,242.0,2017,02,27 00:00:00
576,576,2017-06-03,81,548.0,2017,06,03 00:00:00
577,577,2017-08-11,109,263.0,2017,08,11 00:00:00
592,592,2017-05-16,64,597.0,2017,05,16 00:00:00
619,619,2017-08-29,130,484.0,2017,08,29 00:00:00
624,624,2017-05-26,80,192.0,2017,05,26 00:00:00
632,632,2017-11-26,176,220.0,2017,11,26 00:00:00
642,642,2017-07-01,91,462.0,2017,07,01 00:00:00
657,657,2017-04-19,50,469.0,2017,04,19 00:00:00
667,667,2017-08-14,95,99.0,2017,08,14 00:00:00
668,668,2017-09-07,87,235.0,2017,09,07 00:00:00
670,670,2017-06-16,101,199.0,2017,06,16 00:00:00
673,673,2017-08-27,204,476.0,2017,08,27 00:00:00
677,677,2017-04-03,177,184.0,2017,04,03 00:00:00
680,680,2017-06-08,76,156.0,2017,06,08 00:00:00
685,685,2017-03-18,74,284.0,2017,03,18 00:00:00
686,686,2017-05-03,49,234.0,2017,05,03 00:00:00
693,693,2017-10-09,74,597.0,2017,10,09 00:00:00
700,700,2017-03-20,38,299.0,2017,03,20 00:00:00
701,701,2017-02-17,55,356.0,2017,02,17 00:00:00
705,705,2017-09-12,84,498.0,2017,09,12 00:00:00
707,707,2017-04-14,59,801.0,2017,04,14 00:00:00
713,713,2017-11-28,61,149.0,2017,11,28 00:00:00
714,714,2017-05-19,66,299.0,2017,05,19 00:00:00
722,722,2017-09-15,91,391.0,2017,09,15 00:00:00
724,724,2017-12-22,108,498.0,2017,12,22 00:00:00
727,727,2017-06-07,60,391.0,2017,06,07 00:00:00
730,730,2017-07-02,134,427.0,2017,07,02 00:00:00
734,734,2017-09-01,125,603.0,2017,09,01 00:00:00
739,739,2017-12-29,96,220.0,2017,12,29 00:00:00
743,743,2017-08-18,133,590.0,2017,08,18 00:00:00
745,745,2017-02-24,43,525.0,2017,02,24 00:00:00
746,746,2017-07-26,95,525.0,2017,07,26 00:00:00
772,772,2017-10-17,46,732.0,2017,10,17 00:00:00
788,788,2017-07-23,140,525.0,2017,07,23 00:00:00
791,791,2017-02-28,36,170.0,2017,02,28 00:00:00
800,800,2017-08-01,83,156.0,2017,08,01 00:00:00
801,801,2017-03-14,29,149.0,2017,03,14 00:00:00
806,806,2017-10-15,125,7801.0,2017,10,15 00:00:00
815,815,2017-03-06,35,448.0,2017,03,06 00:00:00
822,822,2017-09-06,91,427.0,2017,09,06 00:00:00
825,825,2017-01-25,30,597.0,2017,01,25 00:00:00
832,832,2017-05-22,71,683.0,2017,05,22 00:00:00
840,840,2017-12-06,55,6801.0,2017,12,06 00:00:00
848,848,2017-07-21,93,128.0,2017,07,21 00:00:00
850,850,2017-04-20,56,448.0,2017,04,20 00:00:00
862,862,2017-03-24,59,690.0,2017,03,24 00:00:00
867,867,2017-07-04,84,100.0,2017,07,04 00:00:00
871,871,2017-03-05,45,171.0,2017,03,05 00:00:00
877,877,2017-05-05,55,768.0,2017,05,05 00:00:00
896,896,2017-07-13,85,1778.0,2017,07,13 00:00:00
906,906,2017-05-10,43,320.0,2017,05,10 00:00:00
912,912,2017-11-03,54,199.0,2017,11,03 00:00:00
917,917,2017-06-17,75,425.0,2017,06,17 00:00:00
919,919,2017-02-19,56,1102.0,2017,02,19 00:00:00
924,924,2017-01-23,33,71110.0,2017,01,23 00:00:00
944,944,2017-10-04,208,114.0,2017,10,04 00:00:00
951,951,2017-07-03,86,447.0,2017,07,03 00:00:00
954,954,2017-10-13,73,548.0,2017,10,13 00:00:00
955,955,2017-02-18,57,1993.0,2017,02,18 00:00:00
957,957,2017-06-25,124,199.0,2017,06,25 00:00:00
963,963,2017-12-21,78,164.0,2017,12,21 00:00:00
964,964,2017-12-19,64,292.0,2017,12,19 00:00:00
968,968,2017-04-13,51,2482.0,2017,04,13 00:00:00
972,972,2017-02-14,54,185.0,2017,02,14 00:00:00
973,973,2017-07-09,137,418.0,2017,07,09 00:00:00
976,976,2017-06-13,61,319.0,2017,06,13 00:00:00
983,983,2017-06-21,54,1631.0,2017,06,21 00:00:00
988,988,2017-11-11,92,235.0,2017,11,11 00:00:00
997,997,2017-12-26,122,356.0,2017,12,26 00:00:00
1015,1015,2017-05-09,57,177.0,2017,05,09 00:00:00
1020,1020,2017-06-04,103,398.0,2017,06,04 00:00:00
1025,1025,2017-06-19,94,248.0,2017,06,19 00:00:00
1029,1029,2017-08-08,92,796.0,2017,08,08 00:00:00
1038,1038,2017-09-02,111,1799.0,2017,09,02 00:00:00
1042,1042,2017-05-06,69,269.0,2017,05,06 00:00:00
1047,1047,2017-10-26,17,171.0,2017,10,26 00:00:00
1048,1048,2017-01-08,37,114.0,2017,01,08 00:00:00
1051,1051,2017-07-16,151,10666.0,2017,07,16 00:00:00
1060,1060,2017-04-15,88,4501.0,2017,04,15 00:00:00
1079,1079,2017-11-14,55,596.0,2017,11,14 00:00:00
1083,1083,2017-06-09,73,567.0,2017,06,09 00:00:00
1088,1088,2017-12-10,142,981.0,2017,12,10 00:00:00
1092,1092,2017-03-07,28,981.0,2017,03,07 00:00:00
1093,1093,2017-04-17,56,981.0,2017,04,17 00:00:00
1102,1102,2017-05-28,98,626.0,2017,05,28 00:00:00
1104,1104,2017-03-11,62,391.0,2017,03,11 00:00:00
1105,1105,2017-03-01,43,356.0,2017,03,01 00:00:00
1130,1130,2017-09-22,119,121.0,2017,09,22 00:00:00
1144,1144,2017-11-17,65,1301.0,2017,11,17 00:00:00
1154,1154,2017-09-10,195,292.0,2017,09,10 00:00:00
1161,1161,2017-02-09,37,199.0,2017,02,09 00:00:00
1163,1163,2017-02-04,42,171.0,2017,02,04 00:00:00
1168,1168,2017-03-10,48,100.0,2017,03,10 00:00:00
1169,1169,2017-06-26,79,270.0,2017,06,26 00:00:00
1182,1182,2017-04-25,47,327.0,2017,04,25 00:00:00
1190,1190,2017-12-28,87,199.0,2017,12,28 00:00:00
1196,1196,2017-05-21,131,348.0,2017,05,21 00:00:00
1207,1207,2017-04-12,41,896.0,2017,04,12 00:00:00
1213,1213,2017-03-26,63,583.0,2017,03,26 00:00:00
1216,1216,2017-04-27,57,468.0,2017,04,27 00:00:00
1236,1236,2017-11-25,88,99.0,2017,11,25 00:00:00
