,Unnamed: 0,date,counts,price,year,month,day
2113,2113,2018-04-02,120,199.0,2018,04,02 00:00:00
2114,2114,2018-04-25,116,192.0,2018,04,25 00:00:00
2120,2120,2018-10-20,272,690.0,2018,10,20 00:00:00
2124,2124,2018-11-26,179,370.0,2018,11,26 00:00:00
2134,2134,2018-02-16,56,277.0,2018,02,16 00:00:00
2137,2137,2018-08-27,355,277.0,2018,08,27 00:00:00
2140,2140,2018-05-21,210,525.0,2018,05,21 00:00:00
2143,2143,2018-07-21,229,1586.0,2018,07,21 00:00:00
2148,2148,2018-05-10,124,398.0,2018,05,10 00:00:00
2159,2159,2018-05-06,230,469.0,2018,05,06 00:00:00
2163,2163,2018-11-23,207,100.0,2018,11,23 00:00:00
2167,2167,2018-04-22,250,171.0,2018,04,22 00:00:00
2178,2178,2018-07-15,335,348.0,2018,07,15 00:00:00
2185,2185,2018-11-02,184,128.0,2018,11,02 00:00:00
2195,2195,2018-09-30,260,191.0,2018,09,30 00:00:00
2203,2203,2018-06-11,174,491.0,2018,06,11 00:00:00
2210,2210,2018-01-28,141,2489.0,2018,01,28 00:00:00
2212,2212,2018-07-01,299,484.0,2018,07,01 00:00:00
2223,2223,2018-01-31,108,988.0,2018,01,31 00:00:00
2236,2236,2018-11-27,142,270.0,2018,11,27 00:00:00
2238,2238,2018-12-08,243,299.0,2018,12,08 00:00:00
2244,2244,2018-04-03,106,425.0,2018,04,03 00:00:00
2249,2249,2018-02-10,77,292.0,2018,02,10 00:00:00
2251,2251,2018-06-10,256,292.0,2018,06,10 00:00:00
2254,2254,2018-04-27,171,747.0,2018,04,27 00:00:00
2263,2263,2018-08-09,224,804.0,2018,08,09 00:00:00
2269,2269,2018-08-29,275,447.0,2018,08,29 00:00:00
2277,2277,2018-10-11,127,277.0,2018,10,11 00:00:00
2283,2283,2018-08-19,352,92.0,2018,08,19 00:00:00
