,Unnamed: 0,date,counts,price,year,month,day
10,10,2019-06-13,450,420.0,2019,06,13 00:00:00
16,16,2019-01-21,335,397.0,2019,01,21 00:00:00
17,17,2019-03-05,250,420.0,2019,03,05 00:00:00
31,31,2019-05-16,407,704.0,2019,05,16 00:00:00
34,34,2019-07-19,662,560.0,2019,07,19 00:00:00
40,40,2019-07-17,556,782.0,2019,07,17 00:00:00
43,43,2019-01-08,215,299.0,2019,01,08 00:00:00
53,53,2019-05-29,378,498.0,2019,05,29 00:00:00
58,58,2019-07-28,949,121.0,2019,07,28 00:00:00
60,60,2019-09-01,941,427.0,2019,09,01 00:00:00
68,68,2019-05-23,381,953.0,2019,05,23 00:00:00
72,72,2019-08-14,640,498.0,2019,08,14 00:00:00
77,77,2019-08-09,681,1067.0,2019,08,09 00:00:00
79,79,2019-09-09,568,953.0,2019,09,09 00:00:00
84,84,2019-06-21,581,953.0,2019,06,21 00:00:00
85,85,2019-03-13,308,248.0,2019,03,13 00:00:00
107,107,2019-07-31,710,796.0,2019,07,31 00:00:00
115,115,2019-07-12,663,4999.0,2019,07,12 00:00:00
117,117,2019-06-23,912,801.0,2019,06,23 00:00:00
124,124,2019-02-24,589,953.0,2019,02,24 00:00:00
125,125,2019-06-19,548,1998.0,2019,06,19 00:00:00
138,138,2019-03-07,262,996.0,2019,03,07 00:00:00
147,147,2019-06-17,520,356.0,2019,06,17 00:00:00
149,149,2019-04-15,442,235.0,2019,04,15 00:00:00
155,155,2019-05-28,373,306.0,2019,05,28 00:00:00
156,156,2019-06-05,395,441.0,2019,06,05 00:00:00
161,161,2019-02-26,271,505.0,2019,02,26 00:00:00
180,180,2019-02-27,255,1607.0,2019,02,27 00:00:00
198,198,2019-08-01,612,391.0,2019,08,01 00:00:00
207,207,2019-01-26,285,199.0,2019,01,26 00:00:00
219,219,2019-07-20,711,199.0,2019,07,20 00:00:00
237,237,2019-09-14,817,178.0,2019,09,14 00:00:00
241,241,2019-01-14,271,498.0,2019,01,14 00:00:00
257,257,2019-05-25,521,1152.0,2019,05,25 00:00:00
259,259,2019-01-28,279,356.0,2019,01,28 00:00:00
272,272,2019-06-11,338,896.0,2019,06,11 00:00:00
275,275,2019-07-21,913,2802.0,2019,07,21 00:00:00
285,285,2019-03-04,298,356.0,2019,03,04 00:00:00
303,303,2019-03-21,363,434.0,2019,03,21 00:00:00
309,309,2019-02-22,357,420.0,2019,02,22 00:00:00
312,312,2019-02-03,196,206.0,2019,02,03 00:00:00
322,322,2019-04-11,357,277.0,2019,04,11 00:00:00
323,323,2019-03-11,341,384.0,2019,03,11 00:00:00
329,329,2019-08-11,1082,597.0,2019,08,11 00:00:00
338,338,2019-07-22,618,482.0,2019,07,22 00:00:00
340,340,2019-08-06,663,213.0,2019,08,06 00:00:00
344,344,2019-05-01,680,270.0,2019,05,01 00:00:00
345,345,2019-05-19,893,249.0,2019,05,19 00:00:00
349,349,2019-03-20,307,347.0,2019,03,20 00:00:00
353,353,2019-09-05,558,156.0,2019,09,05 00:00:00
358,358,2019-08-03,722,128.0,2019,08,03 00:00:00
363,363,2019-01-31,268,164.0,2019,01,31 00:00:00
371,371,2019-06-12,435,370.0,2019,06,12 00:00:00
375,375,2019-05-20,467,8050.0,2019,05,20 00:00:00
400,400,2019-01-11,224,752.0,2019,01,11 00:00:00
407,407,2019-04-28,538,1003.0,2019,04,28 00:00:00
417,417,2019-02-13,319,85.0,2019,02,13 00:00:00
420,420,2019-06-29,685,235.0,2019,06,29 00:00:00
466,466,2019-07-05,601,241.0,2019,07,05 00:00:00
469,469,2019-02-14,259,262.0,2019,02,14 00:00:00
470,470,2019-01-16,276,149.0,2019,01,16 00:00:00
472,472,2019-01-03,231,128.0,2019,01,03 00:00:00
474,474,2019-05-13,418,491.0,2019,05,13 00:00:00
477,477,2019-05-05,600,569.0,2019,05,05 00:00:00
495,495,2019-08-26,975,619.0,2019,08,26 00:00:00
506,506,2019-03-29,431,220.0,2019,03,29 00:00:00
507,507,2019-07-11,600,526.0,2019,07,11 00:00:00
511,511,2019-02-11,391,533.0,2019,02,11 00:00:00
515,515,2019-05-22,380,397.0,2019,05,22 00:00:00
522,522,2019-06-06,403,860.0,2019,06,06 00:00:00
535,535,2019-08-23,930,164.0,2019,08,23 00:00:00
538,538,2019-08-22,755,569.0,2019,08,22 00:00:00
546,546,2019-03-24,807,1351.0,2019,03,24 00:00:00
547,547,2019-09-15,830,412.0,2019,09,15 00:00:00
551,551,2019-08-31,950,299.0,2019,08,31 00:00:00
568,568,2019-08-02,633,277.0,2019,08,02 00:00:00
